Structures,Volume in nm3
BIVXEK_clean.cif,1.1
BIWHAQ_clean.cif,3.1
BIWSIK_ion_b.cif,16.1
BIWYAH10_clean.cif,3.3
BIXXIR_clean.cif,4.1
BIXYEO_clean.cif,4.1
BIYSUZ_clean.cif,3.9
BIYTAG_clean.cif,3.9
BIYTEJ.cif,2.3
BIYTOU_clean.cif,4.4
BIYVEM_clean.cif,3.7
BIYVIQ_clean.cif,3.8
BIYXUE_charged.cif,14.3
BIYYAL_charged.cif,14.2
BIYYEP_charged.cif,14.1
BIZLUT_clean.cif,14.2
BIZMAA_clean.cif,14.2
BIZMEE_clean.cif,14.1
BIZMII_clean.cif,14.1
BOCKOT_clean.cif,3.7
BOCTEU01_clean.cif,1.8
BOCTOE01_clean.cif,1.0
BOCTOE02_clean.cif,1.0
BOCTOE03_clean.cif,1.0
BOCTOE04_clean.cif,1.0
BOCTOE05_clean.cif,1.0
BOCTOE_clean.cif,1.0
BOFCEG_clean.cif,1.3
BOHGOU_clean.cif,0.5
BOHJOZ_auto.cif,5.8
BOHWOM_clean.cif,12.2
BOHXIH_clean.cif,5.7
BOJCIN_clean.cif,6.4
BOJDAG_clean.cif,1.9
BOJYIK01_clean.cif,1.0
BOJYIK_clean.cif,1.0
BOKQEZ_clean.cif,4.8
BOLPAU_clean.cif,18.9
BOLPEY_clean.cif,4.9
BOMCOX_clean.cif,5.1
BOMCUB_charged.cif,0.9
BOMCUB_clean.cif,0.9
BONMEX_clean.cif,3.9
BONNIC_clean.cif,1.3
BONWAD_clean.cif,1.3
BONWIL_clean.cif,2.3
BOPHEV_clean.cif,3.0
BOPHIZ_clean.cif,3.2
BOPWIO_clean.cif,3.1
BOQYUD_clean.cif,1.0
BORBEQ_clean.cif,3.9
BOSHIC_clean.cif,13.5
BOTLED_clean.cif,0.7
BOVHEB_clean.cif,3.6
BOWDIC_clean.cif,9.2
BOWNUY_clean.cif,6.5
BOWQAG_SL.cif,2.0
BOWQAG_clean.cif,2.0
BOWRAH_clean.cif,1.0
BOWSOW_clean.cif,1.0
BOWSUC_clean.cif,1.8
BOWZUK_clean.cif,7.6
BOXYEU_clean.cif,1.5
BOXYIY_clean.cif,1.3
BOYCEY_auto.cif,17.7
BOYTEQ_clean.cif,2.5
BOYYOF_clean.cif,8.9
BOZFIH_clean.cif,6.2
BOZFON_clean.cif,8.9
BUBDIL_clean.cif,1.6
BUBQOE_clean.cif,2.0
BUBTUP_clean.cif,9.7
BUBWOM_clean.cif,5.3
BUCROH_charged.cif,3.4
BUCSAU_clean.cif,3.3
BUCSEY_clean.cif,3.3
BUCSIC01_clean.cif,3.3
BUCSIC_charged.cif,3.4
BUCTUQ_clean.cif,11.8
BUCVAY_clean.cif,11.9
BUCVIG_clean.cif,11.8
BUCWAZ_clean.cif,5.3
BUCYAA_clean.cif,5.0
BUDDIO_clean.cif,0.8
BUFPIC_clean.cif,17.7
BUGSAY_clean.cif,1.5
BUGSEC_clean.cif,1.5
BUGSIG_clean.cif,1.5
BUGSOM_clean.cif,1.5
BUJKEW01_clean.cif,1.7
BUKMUQ01_clean.cif,1.8
BUKMUQ_clean.cif,1.8
BUKRUW01_clean.cif,8.2
BUKRUW02_clean.cif,8.2
BUKRUW03_clean.cif,8.2
BUKYAJ_clean.cif,1.0
BULBER_clean.cif,5.3
BUPDOH_clean.cif,13.3
BUPVEP_clean.cif,6.4
BUQWER_clean.cif,4.2
BURHUS_clean.cif,2.2
BURJOO_clean.cif,2.8
BURQIQ_clean.cif,7.8
BUSGIG_clean.cif,1.9
BUSGOM_clean.cif,1.9
BUSNAF_clean.cif,2.6
BUSQEM_clean.cif,2.2
BUSQIQ_clean.cif,0.6
BUSQUC_clean.cif,2.0
BUSRUE_clean.cif,4.9
BUSSEP_clean.cif,10.9
BUSTAM_clean.cif,11.0
BUVHEH_clean.cif,1.1
BUVKUA_clean.cif,1.2
BUVVIZ_clean.cif,10.5
BUVVOF_clean.cif,10.4
BUVWOF02_clean.cif,2.4
BUVWOF03_clean.cif,5.3
BUVXOG_clean.cif,2.3
BUVYEX_clean.cif,5.2
BUVYIB01_clean.cif,4.4
BUVYIB_clean.cif,4.3
BUWGAC_clean.cif,1.4
BUWGEG_clean.cif,1.7
BUWLUC_clean.cif,3.4
BUWMAJ_clean.cif,3.4
BUWMEN_clean.cif,4.7
BUWMIR_clean.cif,4.6
BUXTOF_clean.cif,9.2
BUXTUL_clean.cif,7.7
BUYNAL_charged.cif,2.8
CABDER_clean.cif,7.9
CABJOH_clean.cif,2.8
CABQEB_clean.cif,3.6
CACBUG_clean.cif,1.1
CACNOM_clean.cif,3.8
CADPIH_clean.cif,2.1
CADPII_clean.cif,2.1
CADQAB_clean.cif,1.4
CADQOP_clean.cif,1.4
CADZIT_clean.cif,2.6
CAFRUX_clean.cif,5.2
CAGSAG_clean.cif,7.3
CAGXIU_clean.cif,1.8
CAHLEE_clean.cif,3.1
CAHNEF_clean.cif,2.4
CAHQAG_clean.cif,1.3
CAHQOS_clean.cif,1.0
CAHSOU_clean.cif,3.0
