,STRUCTURE_NAME,a,b,c,UnitCell
12068,XIPTIA_clean,7.6216,9.833,14.762,2 2 1
12069,XIQHIO_clean,9.341000000000001,8.892000000000001,9.48,2 2 2
12070,XIQZIH_clean,17.4878,16.5108,7.1382,1 1 2
12071,XIRHUC_clean,9.7893,10.3641,10.6649,2 2 2
12072,XISDIO_clean,33.181999999999995,10.296,27.814,1 2 1
12073,XISDOU_clean,33.226,10.372,27.776,1 2 1
12074,XISDUA_clean,33.232,10.345999999999998,27.851999999999997,1 2 1
12075,XISKUF_clean,19.1912,9.347000000000001,9.6375,1 2 2
12076,XISLAM_clean,19.2491,9.275,9.7019,1 2 2
12077,XISLUI_clean,21.584,16.652,18.176,1 1 1
12078,XISPEW01_clean,7.3635,14.1112,16.3906,2 1 1
12079,XISPEW02_clean,7.5174,14.3676,16.35,2 1 1
12080,XISPEW_clean,7.2452,13.9706,16.3779,2 1 1
12081,XISPUM01_clean,7.4872,14.3024,15.0203,2 1 1
12082,XISPUM_clean,7.2443,13.8127,15.4746,2 1 1
12083,XISVUR_clean,14.4669,17.046,18.02,1 1 1
12084,XISXEE_clean,14.9927,17.2321,24.798000000000002,1 1 1
12085,XITYEF_clean,39.938,39.938,39.938,1 1 1
12086,XITYOP_clean,18.453,18.453,27.7826,1 1 1
12087,XIVMEW01_clean,11.081,11.081,19.2801,2 2 1
12088,XIVMEW_clean,10.3716,10.3716,19.1394,2 2 1
12089,XIVVEF_clean,15.0927,15.0927,19.2519,1 1 1
12090,XIWKUJ_clean,13.7249,13.7249,15.3316,1 1 1
12091,XIWLAQ_clean,5.2697,12.14,13.9161,3 1 1
12092,XIWYEH_clean,10.7455,6.3469,20.48,2 2 1
12093,XIYYEL_clean,15.370999999999999,15.370999999999999,15.370999999999999,1 1 1
12094,XIZCUG_clean,16.986,16.986,16.986,1 1 1
12095,XIZJEW_clean,9.985,13.573,18.444000000000003,2 1 1
12096,XIZJIA_clean,17.293,15.019,18.192999999999998,1 1 1
12097,XOBDUO_clean,15.0535,21.8564,3.6939,1 1 4
12098,XOBXIW_clean,9.7763,11.1487,14.3643,2 2 1
12099,XOCGUR_clean,6.9910000000000005,10.031,16.238,2 2 1
